,Potability
1098,1
495,0
2161,0
1456,0
1107,1
1710,0
809,1
480,0
1295,0
2025,1
1544,1
2223,0
2463,0
290,1
2964,0
1921,1
1059,0
2097,0
522,0
167,0
3190,1
3122,1
3255,1
3160,1
1230,0
1317,0
914,0
1911,1
1597,1
626,0
1032,0
3194,1
1263,0
1548,1
1637,1
1001,0
2609,0
1868,0
622,0
1097,1
303,1
650,0
860,0
503,0
1376,0
3010,0
2670,0
1370,0
2883,0
28,0
864,0
369,1
2286,0
1665,0
24,0
652,0
1653,0
2843,1
614,0
2563,0
1721,0
2571,0
331,1
1067,0
1133,1
1271,0
2516,0
2929,0
2194,0
1265,0
1026,0
1440,0
2219,0
1572,1
2488,0
1165,1
425,0
1128,1
338,1
2570,0
51,0
964,0
506,0
194,0
2455,1
1939,1
1591,1
2132,0
1959,1
762,1
150,0
899,0
1621,1
161,0
543,0
1004,0
507,0
35,0
1254,0
862,0
2884,0
122,0
1676,0
1428,0
2822,1
1338,0
970,0
1632,1
3118,1
3081,0
1938,1
224,0
2617,0
2483,0
3204,1
396,1
2375,1
2266,0
1624,1
1124,1
685,1
734,1
42,0
2204,0
780,1
210,0
1505,1
1869,0
2804,1
2736,1
1016,0
2649,0
1323,0
3193,1
3017,0
3097,0
969,0
2849,1
2491,0
761,1
3022,0
2779,1
2661,0
492,0
2826,1
1363,0
280,1
89,0
881,0
273,1
1825,0
2267,0
535,0
130,0
381,1
1430,0
590,0
486,0
1936,1
1086,1
1999,1
308,1
1838,0
1222,1
225,0
2462,0
2128,0
1550,1
19,0
1476,0
3176,1
168,0
2345,1
452,0
3144,1
2975,0
1964,1
713,1
674,1
2183,0
2812,1
2399,1
2275,0
1314,0
1611,1
925,0
488,0
1920,1
1075,1
640,0
3253,1
1459,0
2461,0
1727,0
1402,0
1759,0
1397,0
2754,1
800,1
1298,0
531,0
3074,0
2159,0
2579,0
1902,1
564,0
1047,0
714,1
3228,1
1006,0
1648,0
875,0
1215,1
2585,0
722,1
207,0
2152,0
109,0
1473,0
774,1
2026,1
2716,1
2565,0
1521,1
1864,0
2689,0
847,0
1836,0
2790,1
1091,1
1493,1
2853,1
2738,1
1289,0
913,0
2112,0
3205,1
743,1
577,0
206,0
1932,1
710,1
2155,0
2495,0
1612,1
1102,1
567,0
1987,1
124,0
1283,0
2022,1
1514,1
185,0
2743,1
